Timestamp,age_group,gender,academic_level,university_type,prior_residence,living_arrangement,sleep_duration,employment_type,meal_skipping,commute_time,internet_quality,study_space_quality,current_gpa,study_routine,attendance,academic_overwhelm,family_income,scholarship,personal_income,academic_resource_access,study_material_satisfaction,dropout_intention_score,risk_class
2025-05-19 11:14:05.194,24+,Female,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,7–8 hours,"Yes, Part-time/Full-time Job",1–2 times/week,30–60 minutes,4,Yes - Quiet (4),>3.5,Sporadically (no fixed schedule),>75%,Often,"20,000–50,000",No,">10,000 BDT",No access,3,4,High Risk
2025-05-19 11:31:33.814,24+,Female,Masters,Public University,"Rural area (e.g., village, upazila outside major cities)",University Residence (Halls),5–6 hours,"Yes, Tuition/Coaching",Daily,<30 minutes,3,Yes - Quiet (4),3.1–3.5,Only before exams,>75%,Often,"20,000–50,000","Yes, Government Scholarship",No personal income,"Yes, Rarely",2,5,High Risk
2025-05-19 11:35:41.492,24+,Female,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,7–8 hours,No,Never,30–60 minutes,4,Yes - Moderate noise (3),>3.5,Sporadically (no fixed schedule),>75%,Sometimes,"20,000–50,000",No,"5,000–10,000 BDT","Yes, Rarely",3,1,Low Risk
2025-05-19 12:22:43.572,24+,Male,Undergraduate (Year 2–4),National University / Affiliated College,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,7–8 hours,"Yes, Part-time/Full-time Job",1–2 times/week,>1 hour,3,Yes - Moderate noise (3),3.1–3.5,Only before exams,>75%,Often,"20,000–50,000",No,"<5,000 BDT","Yes, Rarely",3,1,Low Risk
2025-05-19 12:42:54.603,24+,Male,Masters,National University / Affiliated College,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,"Yes, Freelancing (e.g., online work)",Daily,30–60 minutes,4,Yes - Moderate noise (3),>3.5,Only before exams,>75%,Sometimes,"50,001–100,000","Yes, University Merit-Based","5,000–10,000 BDT","Yes, Daily",4,1,Low Risk
2025-05-19 12:52:23.480,24+,Female,Undergraduate (Year 2–4),National University / Affiliated College,"Suburban area (e.g., Gazipur, Savar, Tongi)",Home or Hostels,>8 hours,"Yes, Part-time/Full-time Job",3–4 times/week,<30 minutes,5,Yes - Very quiet (5),>3.5,Only before exams,>75%,Never,"20,000–50,000",No,">10,000 BDT","Yes, Daily",3,3,Moderate Risk
2025-05-19 13:51:39.646,21–23,Male,Undergraduate (Year 1),Private University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,7–8 hours,No,1–2 times/week,30–60 minutes,3,Yes - Quiet (4),2.5–3.0,Sporadically (no fixed schedule),>75%,Often,"20,000–50,000","Yes, University Merit-Based",No personal income,"Yes, Weekly",3,3,Moderate Risk
2025-05-19 14:19:53.219,24+,Male,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",University Residence (Halls),7–8 hours,"Yes, Part-time/Full-time Job",1–2 times/week,<30 minutes,3,Yes - Noisy (2),>3.5,Sporadically (no fixed schedule),50–75%,Sometimes,"50,001–100,000",No,"5,000–10,000 BDT","Yes, Rarely",3,1,Low Risk
2025-05-19 14:54:54.283,24+,Male,Masters,Private University,"Rural area (e.g., village, upazila outside major cities)",Home or Hostels,5–6 hours,"Yes, Part-time/Full-time Job",1–2 times/week,>1 hour,5,Yes - Moderate noise (3),3.1–3.5,Only before exams,<50%,Sometimes,"20,000–50,000",No,">10,000 BDT","Yes, Rarely",3,2,Low Risk
2025-05-19 17:19:20.188,21–23,Female,Undergraduate (Year 1),Public University,"Rural area (e.g., village, upazila outside major cities)",University Residence (Halls),5–6 hours,"Yes, Tuition/Coaching",1–2 times/week,<30 minutes,4,Yes - Moderate noise (3),3.1–3.5,"Regularly throughout the course (e.g., weekly)",>75%,Often,"<20,000","Yes, Government Scholarship",">10,000 BDT","Yes, Daily",3,4,High Risk
2025-05-19 17:21:54.738,21–23,Male,Undergraduate (Year 1),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,<5 hours,"Yes, Part-time/Full-time Job",1–2 times/week,>1 hour,4,Yes - Quiet (4),3.1–3.5,Only before exams,>75%,Often,"20,000–50,000",No,"5,000–10,000 BDT","Yes, Daily",4,1,Low Risk
2025-05-19 17:45:49.279,24+,Female,Undergraduate (Year 2–4),National University / Affiliated College,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,"Yes, Tuition/Coaching",Daily,>1 hour,3,Yes - Moderate noise (3),2.5–3.0,Only before exams,50–75%,Sometimes,"<20,000",No,"5,000–10,000 BDT",No access,3,3,Moderate Risk
2025-05-19 18:05:52.823,21–23,Male,Undergraduate (Year 1),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,"Yes, Part-time/Full-time Job",Never,>1 hour,1,Yes - Quiet (4),>3.5,Sporadically (no fixed schedule),>75%,Always,"<20,000","Yes, Government Scholarship","5,000–10,000 BDT","Yes, Daily",2,1,Low Risk
2025-05-19 18:07:38.874,21–23,Male,Undergraduate (Year 2–4),Private University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,<5 hours,"Yes, Part-time/Full-time Job",Daily,<30 minutes,3,Yes - Moderate noise (3),3.1–3.5,"Regularly throughout the course (e.g., weekly)",50–75%,Sometimes,"<20,000","Yes, University Merit-Based","<5,000 BDT",No access,1,1,Low Risk
2025-05-19 19:51:13.413,24+,Female,Undergraduate (Year 2–4),National University / Affiliated College,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,7–8 hours,No,1–2 times/week,>1 hour,3,Yes - Very noisy (1),3.1–3.5,Sporadically (no fixed schedule),50–75%,Often,"50,001–100,000",No,"5,000–10,000 BDT","Yes, Daily",3,3,Moderate Risk
2025-05-19 22:59:57.551,24+,Male,Masters,Private University,"Rural area (e.g., village, upazila outside major cities)",Home or Hostels,7–8 hours,"Yes, Freelancing (e.g., online work)",Daily,30–60 minutes,3,Yes - Moderate noise (3),3.1–3.5,Only before exams,50–75%,Sometimes,"50,001–100,000","Yes, University Merit-Based",">10,000 BDT","Yes, Rarely",3,4,High Risk
2025-05-19 23:00:25.933,24+,Male,Masters,Public University,"Rural area (e.g., village, upazila outside major cities)",Home or Hostels,<5 hours,"Yes, Tuition/Coaching",Daily,<30 minutes,5,Yes - Quiet (4),>3.5,Only before exams,>75%,Often,"<20,000",No,"<5,000 BDT","Yes, Rarely",4,1,Low Risk
2025-05-20 00:08:29.465,21–23,Female,Undergraduate (Year 2–4),National University / Affiliated College,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,>8 hours,No,3–4 times/week,>1 hour,3,Yes - Quiet (4),3.1–3.5,Sporadically (no fixed schedule),>75%,Sometimes,"20,000–50,000",No,No personal income,"Yes, Rarely",3,3,Moderate Risk
2025-05-20 07:39:25.250,24+,Male,Masters,Public University,"Rural area (e.g., village, upazila outside major cities)",University Residence (Halls),5–6 hours,No,Never,<30 minutes,4,Yes - Quiet (4),>3.5,Only before exams,>75%,Sometimes,"20,000–50,000","Yes, Government Scholarship",No personal income,No access,3,1,Low Risk
2025-05-20 08:50:59.311,24+,Male,Masters,National University / Affiliated College,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,7–8 hours,No,Never,<30 minutes,3,Yes - Quiet (4),3.1–3.5,Sporadically (no fixed schedule),<50%,Sometimes,"20,000–50,000",No,"<5,000 BDT",No access,5,5,High Risk
2025-05-20 13:08:36.521,24+,Male,Undergraduate (Year 2–4),Public University,"Rural area (e.g., village, upazila outside major cities)",Home or Hostels,5–6 hours,"Yes, Part-time/Full-time Job",Never,>1 hour,5,Yes - Very quiet (5),3.1–3.5,Only before exams,50–75%,Often,"20,000–50,000",No,">10,000 BDT","Yes, Daily",1,5,High Risk
2025-05-20 13:13:25.008,21–23,Male,Undergraduate (Year 2–4),Public University,"Rural area (e.g., village, upazila outside major cities)",Home or Hostels,5–6 hours,"Yes, Tuition/Coaching",1–2 times/week,30–60 minutes,4,Yes - Quiet (4),3.1–3.5,Only before exams,>75%,Sometimes,"20,000–50,000",No,">10,000 BDT","Yes, Rarely",4,2,Low Risk
2025-05-20 13:14:38.633,24+,Male,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,"Yes, Part-time/Full-time Job",3–4 times/week,30–60 minutes,4,Yes - Moderate noise (3),>3.5,Only before exams,>75%,Always,">100,000",No,">10,000 BDT",No access,3,1,Low Risk
2025-05-20 13:15:18.208,24+,Male,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,"Yes, Part-time/Full-time Job",1–2 times/week,<30 minutes,5,Yes - Quiet (4),3.1–3.5,Only before exams,>75%,Rarely,"50,001–100,000",No,">10,000 BDT","Yes, Rarely",3,2,Low Risk
2025-05-20 13:17:40.389,21–23,Male,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,"Yes, Tuition/Coaching",1–2 times/week,30–60 minutes,3,Yes - Moderate noise (3),3.1–3.5,Sporadically (no fixed schedule),>75%,Sometimes,"20,000–50,000","Yes, Government Scholarship","<5,000 BDT","Yes, Rarely",4,1,Low Risk
2025-05-20 13:26:58.101,21–23,Female,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,7–8 hours,No,1–2 times/week,30–60 minutes,4,Yes - Quiet (4),>3.5,Sporadically (no fixed schedule),>75%,Often,"20,000–50,000","Yes, Government Scholarship",No personal income,"Yes, Rarely",1,3,Moderate Risk
2025-05-20 13:31:00.203,24+,Male,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,No,Never,30–60 minutes,4,Yes - Quiet (4),3.1–3.5,Only before exams,50–75%,Often,"50,001–100,000",No,No personal income,"Yes, Rarely",2,2,Low Risk
2025-05-20 13:32:39.664,21–23,Male,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,No,3–4 times/week,30–60 minutes,3,Yes - Very noisy (1),3.1–3.5,Only before exams,>75%,Always,"20,000–50,000",No,No personal income,"Yes, Daily",3,3,Moderate Risk
2025-05-20 13:36:05.392,21–23,Male,Undergraduate (Year 1),National University / Affiliated College,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,<5 hours,"Yes, Tuition/Coaching",1–2 times/week,<30 minutes,1,No dedicated study space,2.5–3.0,Only before exams,50–75%,Never,"20,000–50,000","Yes, Government Scholarship",No personal income,No access,1,1,Low Risk
2025-05-20 13:36:47.333,17–20,Male,Undergraduate (Year 1),Private University,"Rural area (e.g., village, upazila outside major cities)",Home or Hostels,5–6 hours,No,1–2 times/week,<30 minutes,4,Yes - Quiet (4),2.5–3.0,Only before exams,>75%,Often,"20,000–50,000","Yes, Government Scholarship","<5,000 BDT","Yes, Daily",3,1,Low Risk
2025-05-20 13:39:28.438,21–23,Male,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",University Residence (Halls),7–8 hours,No,Never,<30 minutes,3,Yes - Quiet (4),>3.5,"Regularly throughout the course (e.g., weekly)",>75%,Often,"<20,000","Yes, Government Scholarship",No personal income,"Yes, Daily",3,3,Moderate Risk
2025-05-20 13:44:48.209,21–23,Female,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,7–8 hours,"Yes, Tuition/Coaching",Daily,30–60 minutes,3,Yes - Quiet (4),3.1–3.5,Sporadically (no fixed schedule),50–75%,Sometimes,"50,001–100,000",No,">10,000 BDT","Yes, Weekly",3,4,High Risk
